Region,Country,City,Month,AvgTemperature,Air_Quality_Index,air_quality_label,Healthcare_Index,healthcare_label,Decibel_Level,decibel_label,Happiness_Score,Cost_of_Living_Index,hotel_price_avg,budget_food_avg,budget_transport_avg,meal_inexpensive_res,Res_3course1P,combo_meal_mcdo,coordonates,coordonates_country
Africa,Egypt,Cairo,1,14.14,115.0,Not Good,65.0,Moderate,75.0,Noisy,4.0,55.0,59,20.682,3.3600000000000003,4.07,10.18,4.07,"[30.0626, 31.2497]","[26.820553, 30.802498]"
Africa,Egypt,Cairo,2,15.75,115.0,Not Good,65.0,Moderate,75.0,Noisy,4.0,55.0,59,20.682,3.3600000000000003,4.07,10.18,4.07,"[30.0626, 31.2497]","[26.820553, 30.802498]"
Africa,Egypt,Cairo,3,18.38,115.0,Not Good,65.0,Moderate,75.0,Noisy,4.0,55.0,59,20.682,3.3600000000000003,4.07,10.18,4.07,"[30.0626, 31.2497]","[26.820553, 30.802498]"
Africa,Egypt,Cairo,4,20.49,115.0,Not Good,65.0,Moderate,75.0,Noisy,4.0,55.0,59,20.682,3.3600000000000003,4.07,10.18,4.07,"[30.0626, 31.2497]","[26.820553, 30.802498]"
Africa,Egypt,Cairo,5,25.06,115.0,Not Good,65.0,Moderate,75.0,Noisy,4.0,55.0,59,20.682,3.3600000000000003,4.07,10.18,4.07,"[30.0626, 31.2497]","[26.820553, 30.802498]"
Africa,Egypt,Cairo,6,27.76,115.0,Not Good,65.0,Moderate,75.0,Noisy,4.0,55.0,59,20.682,3.3600000000000003,4.07,10.18,4.07,"[30.0626, 31.2497]","[26.820553, 30.802498]"
Africa,Egypt,Cairo,7,29.26,115.0,Not Good,65.0,Moderate,75.0,Noisy,4.0,55.0,59,20.682,3.3600000000000003,4.07,10.18,4.07,"[30.0626, 31.2497]","[26.820553, 30.802498]"
Africa,Egypt,Cairo,8,28.97,115.0,Not Good,65.0,Moderate,75.0,Noisy,4.0,55.0,59,20.682,3.3600000000000003,4.07,10.18,4.07,"[30.0626, 31.2497]","[26.820553, 30.802498]"
Africa,Egypt,Cairo,9,27.46,115.0,Not Good,65.0,Moderate,75.0,Noisy,4.0,55.0,59,20.682,3.3600000000000003,4.07,10.18,4.07,"[30.0626, 31.2497]","[26.820553, 30.802498]"
Africa,Egypt,Cairo,10,24.45,115.0,Not Good,65.0,Moderate,75.0,Noisy,4.0,55.0,59,20.682,3.3600000000000003,4.07,10.18,4.07,"[30.0626, 31.2497]","[26.820553, 30.802498]"
Africa,Egypt,Cairo,11,19.64,115.0,Not Good,65.0,Moderate,75.0,Noisy,4.0,55.0,59,20.682,3.3600000000000003,4.07,10.18,4.07,"[30.0626, 31.2497]","[26.820553, 30.802498]"
Africa,Egypt,Cairo,12,15.37,115.0,Not Good,65.0,Moderate,75.0,Noisy,4.0,55.0,59,20.682,3.3600000000000003,4.07,10.18,4.07,"[30.0626, 31.2497]","[26.820553, 30.802498]"
Asia,Bangladesh,Dhaka,1,-16.4,195.0,Bad,40.0,Bad,90.0,Very Noisy,2.0,35.0,43,17.622,8.620000000000001,1.95,5.86,4.88,"[23.7104, 90.4074]","[23.684994, 90.356331]"
Asia,Bangladesh,Dhaka,2,-9.55,195.0,Bad,40.0,Bad,90.0,Very Noisy,2.0,35.0,43,17.622,8.620000000000001,1.95,5.86,4.88,"[23.7104, 90.4074]","[23.684994, 90.356331]"
Asia,Bangladesh,Dhaka,3,-7.99,195.0,Bad,40.0,Bad,90.0,Very Noisy,2.0,35.0,43,17.622,8.620000000000001,1.95,5.86,4.88,"[23.7104, 90.4074]","[23.684994, 90.356331]"
Asia,Bangladesh,Dhaka,4,-13.98,195.0,Bad,40.0,Bad,90.0,Very Noisy,2.0,35.0,43,17.622,8.620000000000001,1.95,5.86,4.88,"[23.7104, 90.4074]","[23.684994, 90.356331]"
Asia,Bangladesh,Dhaka,5,-16.19,195.0,Bad,40.0,Bad,90.0,Very Noisy,2.0,35.0,43,17.622,8.620000000000001,1.95,5.86,4.88,"[23.7104, 90.4074]","[23.684994, 90.356331]"
Asia,Bangladesh,Dhaka,6,-23.54,195.0,Bad,40.0,Bad,90.0,Very Noisy,2.0,35.0,43,17.622,8.620000000000001,1.95,5.86,4.88,"[23.7104, 90.4074]","[23.684994, 90.356331]"
Asia,Bangladesh,Dhaka,7,-4.58,195.0,Bad,40.0,Bad,90.0,Very Noisy,2.0,35.0,43,17.622,8.620000000000001,1.95,5.86,4.88,"[23.7104, 90.4074]","[23.684994, 90.356331]"
Asia,Bangladesh,Dhaka,8,-6.73,195.0,Bad,40.0,Bad,90.0,Very Noisy,2.0,35.0,43,17.622,8.620000000000001,1.95,5.86,4.88,"[23.7104, 90.4074]","[23.684994, 90.356331]"
Asia,Bangladesh,Dhaka,9,-7.36,195.0,Bad,40.0,Bad,90.0,Very Noisy,2.0,35.0,43,17.622,8.620000000000001,1.95,5.86,4.88,"[23.7104, 90.4074]","[23.684994, 90.356331]"
Asia,Bangladesh,Dhaka,10,-7.78,195.0,Bad,40.0,Bad,90.0,Very Noisy,2.0,35.0,43,17.622,8.620000000000001,1.95,5.86,4.88,"[23.7104, 90.4074]","[23.684994, 90.356331]"
Asia,Bangladesh,Dhaka,11,-14.18,195.0,Bad,40.0,Bad,90.0,Very Noisy,2.0,35.0,43,17.622,8.620000000000001,1.95,5.86,4.88,"[23.7104, 90.4074]","[23.684994, 90.356331]"
Asia,Bangladesh,Dhaka,12,-18.14,195.0,Bad,40.0,Bad,90.0,Very Noisy,2.0,35.0,43,17.622,8.620000000000001,1.95,5.86,4.88,"[23.7104, 90.4074]","[23.684994, 90.356331]"
Asia,China,Beijing,1,-3.5,175.0,Bad,70.0,Moderate,80.0,Noisy,4.0,85.0,35,30.612,10.02,4.27,15.66,5.69,"[39.9075, 116.3972]","[35.86166, 104.195397]"
Asia,China,Beijing,2,0.15,175.0,Bad,70.0,Moderate,80.0,Noisy,4.0,85.0,35,30.612,10.02,4.27,15.66,5.69,"[39.9075, 116.3972]","[35.86166, 104.195397]"
Asia,China,Beijing,3,7.25,175.0,Bad,70.0,Moderate,80.0,Noisy,4.0,85.0,35,30.612,10.02,4.27,15.66,5.69,"[39.9075, 116.3972]","[35.86166, 104.195397]"
Asia,China,Beijing,4,14.71,175.0,Bad,70.0,Moderate,80.0,Noisy,4.0,85.0,35,30.612,10.02,4.27,15.66,5.69,"[39.9075, 116.3972]","[35.86166, 104.195397]"
Asia,China,Beijing,5,20.57,175.0,Bad,70.0,Moderate,80.0,Noisy,4.0,85.0,35,30.612,10.02,4.27,15.66,5.69,"[39.9075, 116.3972]","[35.86166, 104.195397]"
Asia,China,Beijing,6,24.47,175.0,Bad,70.0,Moderate,80.0,Noisy,4.0,85.0,35,30.612,10.02,4.27,15.66,5.69,"[39.9075, 116.3972]","[35.86166, 104.195397]"
Asia,China,Beijing,7,26.96,175.0,Bad,70.0,Moderate,80.0,Noisy,4.0,85.0,35,30.612,10.02,4.27,15.66,5.69,"[39.9075, 116.3972]","[35.86166, 104.195397]"
Asia,China,Beijing,8,25.53,175.0,Bad,70.0,Moderate,80.0,Noisy,4.0,85.0,35,30.612,10.02,4.27,15.66,5.69,"[39.9075, 116.3972]","[35.86166, 104.195397]"
Asia,China,Beijing,9,20.43,175.0,Bad,70.0,Moderate,80.0,Noisy,4.0,85.0,35,30.612,10.02,4.27,15.66,5.69,"[39.9075, 116.3972]","[35.86166, 104.195397]"
Asia,China,Beijing,10,13.22,175.0,Bad,70.0,Moderate,80.0,Noisy,4.0,85.0,35,30.612,10.02,4.27,15.66,5.69,"[39.9075, 116.3972]","[35.86166, 104.195397]"
Asia,China,Beijing,11,4.28,175.0,Bad,70.0,Moderate,80.0,Noisy,4.0,85.0,35,30.612,10.02,4.27,15.66,5.69,"[39.9075, 116.3972]","[35.86166, 104.195397]"
Asia,China,Beijing,12,-2.17,175.0,Bad,70.0,Moderate,80.0,Noisy,4.0,85.0,35,30.612,10.02,4.27,15.66,5.69,"[39.9075, 116.3972]","[35.86166, 104.195397]"
Asia,China,Shanghai,1,4.83,170.0,Bad,75.0,Moderate,75.0,Noisy,5.0,80.0,35,36.648,9.74,5.69,19.93,5.69,"[31.2222, 121.4581]","[35.86166, 104.195397]"
Asia,China,Shanghai,2,6.78,170.0,Bad,75.0,Moderate,75.0,Noisy,5.0,80.0,35,36.648,9.74,5.69,19.93,5.69,"[31.2222, 121.4581]","[35.86166, 104.195397]"
